Date,Hotel,Sales
2016-01-01,26,550185
2016-01-08,26,562065
2016-01-15,26,525162
2016-01-22,26,563491
2016-01-29,26,536122
2016-02-05,26,553713
2016-02-12,26,568681
2016-02-19,26,508006
2016-02-26,26,630287
2016-03-05,26,590040
2016-03-12,26,590464
2016-03-19,26,604205
2016-03-26,26,601432
2017-01-01,26,556602
2017-01-08,26,536007
2017-01-15,26,553685
2017-01-22,26,558523
2017-01-29,26,582623
2017-02-05,26,572465
2017-02-12,26,557486
2017-02-19,26,574829
2017-02-26,26,600044
2017-03-05,26,646282
2017-03-12,26,551395
2017-03-19,26,664315
2017-03-26,26,633370
2018-01-01,26,565029
2018-01-08,26,582735
2018-01-15,26,595592
2018-01-22,26,585593
2018-01-29,26,585952
2018-02-05,26,580301
2018-02-12,26,587411
2018-02-19,26,551629
2018-02-26,26,639472
2018-03-05,26,623578
2018-03-12,26,671931
2018-03-19,26,659959
2018-03-26,26,680645
