Date,Hotel,Sales
2016-01-01,30,466864
2016-01-08,30,440354
2016-01-15,30,431780
2016-01-22,30,471767
2016-01-29,30,460515
2016-02-05,30,498118
2016-02-12,30,529447
2016-02-19,30,446432
2016-02-26,30,575042
2016-03-05,30,614564
2016-03-12,30,633604
2016-03-19,30,621183
2016-03-26,30,656643
2017-01-01,30,459346
2017-01-08,30,435958
2017-01-15,30,483048
2017-01-22,30,476960
2017-01-29,30,477140
2017-02-05,30,478068
2017-02-12,30,483304
2017-02-19,30,538520
2017-02-26,30,567117
2017-03-05,30,611365
2017-03-12,30,526977
2017-03-19,30,633386
2017-03-26,30,663217
2018-01-01,30,423775
2018-01-08,30,481513
2018-01-15,30,449622
2018-01-22,30,503904
2018-01-29,30,509707
2018-02-05,30,531426
2018-02-12,30,554104
2018-02-19,30,491870
2018-02-26,30,568734
2018-03-05,30,545400
2018-03-12,30,595755
2018-03-19,30,653841
2018-03-26,30,671403
